Order GUID,Order ID,Store,Order Date,Subtotal,Comment,Store GUID
00EBB24C-351E-ED11-B83E-00224804C844,WA00820220818,WA-008,2022-08-18 00:00:00,$623.80,,8C3A3474-5F72-EC11-8943-000D3A35254B
0189AF7B-7F19-ED11-B83E-000D3A5BC404,WA01320220812,WA-013,2022-08-12 00:00:00,$2256.77,"Thank you! 
Also may we get 3 black manager shirts size LG AND 3 size XL. :) - MOMO",E3C8AC81-5F72-EC11-8943-000D3A35254B
04CB92E9-011F-ED11-B83E-00224804C844,WA00320220819,WA-003,2022-08-19 00:00:00,$879.73,"We need 2 jars of if you have any 
Also black pepper please <3",664107F3-4B6F-EC11-8943-000D3A5C40F8
07E9B6DE-F81E-ED11-B83E-00224804C844,WA00420220819,WA-004,2022-08-19 00:00:00,$1165.83,,D2EC9420-4C6F-EC11-8943-000D3A5C40F8
08011CC6-7324-ED11-B83E-000D3A5A8318,WA00520220826,WA-005,2022-08-26 00:00:00,$585.38,,B8A89A58-5F72-EC11-8943-000D3A35254B
0A932804-BE1C-ED11-B83E-00224804C844,WA00820220816,WA-008,2022-08-16 00:00:00,$615.08,,8C3A3474-5F72-EC11-8943-000D3A35254B
0ADD835D-6F1D-ED11-B83E-00224804C844,WA01120220817,WA-011,2022-08-17 00:00:00,$752.74,,6D0F7F7B-5F72-EC11-8943-000D3A35254B
0DB96AB5-2117-ED11-B83E-000D3A5BC404,WA01520220809,WA-015,2022-08-09 00:00:00,$184.21,,63AD2989-5F72-EC11-8943-000D3A35254B
101B747C-2910-ED11-B83D-000D3A318819,OR00220220802,OR-002,2022-08-02 00:00:00,$690.42,,E1D90EEF-4773-EC11-8943-000D3A35254B
126636EE-E922-ED11-B83E-000D3A5A8318,WA00320220824,WA-003,2022-08-24 00:00:00,$607.54,,664107F3-4B6F-EC11-8943-000D3A5C40F8
17F79204-DF1B-ED11-B83E-00224804C844,WA00320220815,WA-003,2022-08-15 00:00:00,$872.59,2 jars of capers please,664107F3-4B6F-EC11-8943-000D3A5C40F8
1DB1DB20-5B17-ED11-B83E-000D3A5BC404,WA00720220810,WA-007,2022-08-10 00:00:00,$153.30,,5BE9096A-5F72-EC11-8943-000D3A35254B
21268686-411E-ED11-B83E-00224804C844,WA00220220818,WA-002,2022-08-18 00:00:00,$6.00,,56AB6507-9707-ED11-82E4-000D3A5B0B3A
216AB09D-5A21-ED11-B83E-000D3A5A8318,WA01120220822,WA-011,2022-08-22 00:00:00,$794.55,capers thanks,6D0F7F7B-5F72-EC11-8943-000D3A35254B
21DB52CA-DC26-ED11-9DB1-00224803F129,WA00320220829,WA-003,2022-08-29 00:00:00,$895.13,I need both Avery labels for salad bar items and individual salads ( circle and regular),664107F3-4B6F-EC11-8943-000D3A5C40F8
224624E6-3413-ED11-B83D-000D3A318819,WA00820220804,WA-008,2022-08-04 00:00:00,$315.94,,8C3A3474-5F72-EC11-8943-000D3A35254B
281C7251-9A11-ED11-B83D-000D3A318819,WA01520220802,WA-015,2022-08-02 00:00:00,$348.58,,63AD2989-5F72-EC11-8943-000D3A35254B
2A4DB826-4725-ED11-B83E-000D3A5A8318,WA01620220829,WA-016,2022-08-29 00:00:00,$409.95,,01FE7591-5F72-EC11-8943-000D3A35254B
2C4CB90B-E317-ED11-B83E-000D3A5BC404,WA01520220809,WA-015,2022-08-09 00:00:00,$154.36,,63AD2989-5F72-EC11-8943-000D3A35254B
2D087B4D-BF18-ED11-B83E-000D3A5BC404,WA01520220811,WA-015,2022-08-11 00:00:00,$509.48,,63AD2989-5F72-EC11-8943-000D3A35254B
2D6BDBCE-FE13-ED11-B83D-000D3A318819,OR00220220805,OR-002,2022-08-05 00:00:00,$1133.67,,E1D90EEF-4773-EC11-8943-000D3A35254B
2D8AAD1C-ED26-ED11-9DB1-00224803F72F,WA01120220829,WA-011,2022-08-29 00:00:00,$895.86,,6D0F7F7B-5F72-EC11-8943-000D3A35254B
3348C3BE-FF13-ED11-B83D-000D3A318819,WA01120220805,WA-011,2022-08-05 00:00:00,$857.99,,6D0F7F7B-5F72-EC11-8943-000D3A35254B
34C45BAD-6E1A-ED11-B83E-000D3A5BC404,WA00720220815,WA-007,2022-08-15 00:00:00,$64.60,Late notice because I just recieved a 1k catering order. Also need 4 PRO that did not load onto the page. ,5BE9096A-5F72-EC11-8943-000D3A35254B
3AF2C91F-6E12-ED11-B83D-000D3A318819,WA01120220803,WA-011,2022-08-03 00:00:00,$785.80,,6D0F7F7B-5F72-EC11-8943-000D3A35254B
3BEA738C-DB10-ED11-B83D-000D3A318819,WA01320220801,WA-013,2022-08-01 00:00:00,$2310.29,Here is the order! Thank you :) ,E3C8AC81-5F72-EC11-8943-000D3A35254B
3C369890-8224-ED11-B83E-000D3A5A8318,WA00420220826,WA-004,2022-08-26 00:00:00,$1183.40,,D2EC9420-4C6F-EC11-8943-000D3A5C40F8
3C9150E0-F213-ED11-B83D-000D3A318819,WA00520220805,WA-005,2022-08-05 00:00:00,$410.59,"Ashley wont be in to accept delivery until 7AM,Thank you!!",B8A89A58-5F72-EC11-8943-000D3A35254B
421183BA-701D-ED11-B83E-00224804C844,WA00720220817,WA-007,2022-08-17 00:00:00,$140.26,,5BE9096A-5F72-EC11-8943-000D3A35254B
427FFF06-A81C-ED11-B83E-00224804C844,WA00220220816,WA-002,2022-08-16 00:00:00,$141.97,,56AB6507-9707-ED11-82E4-000D3A5B0B3A
433481F7-F122-ED11-B83E-000D3A5A8318,WA00620220824,WA-006,2022-08-24 00:00:00,$683.58,Thank you Abe!! ,AC9EC560-5F72-EC11-8943-000D3A35254B
4358F80E-F022-ED11-B83E-000D3A5A8318,WA01320220824,WA-013,2022-08-24 00:00:00,$2049.36,,E3C8AC81-5F72-EC11-8943-000D3A35254B
448196FB-BC23-ED11-B83E-000D3A5A8318,WA00220220825,WA-002,2022-08-25 00:00:00,$233.31,,56AB6507-9707-ED11-82E4-000D3A5B0B3A
4517E19C-8319-ED11-B83E-000D3A5BC404,WA00420220812,WA-004,2022-08-12 00:00:00,$877.57,,D2EC9420-4C6F-EC11-8943-000D3A5C40F8
457D5AE5-DC1B-ED11-B83E-00224804C844,WA01320220815,WA-013,2022-08-15 00:00:00,$2077.70,,E3C8AC81-5F72-EC11-8943-000D3A35254B
472948E9-BB18-ED11-B83E-000D3A5BC404,WA00220220811,WA-002,2022-08-11 00:00:00,$224.48,can we get a new stapler? preferrably the small desktop kind? the large we have is constantly jamming itself to the point that we stopped using it. the small one are more reliable.,56AB6507-9707-ED11-82E4-000D3A5B0B3A
49E6DF3A-D218-ED11-B83E-000D3A5BC404,WA00820220810,WA-008,2022-08-10 00:00:00,$15.11,Catering - Last Minute,8C3A3474-5F72-EC11-8943-000D3A35254B
49FCF4CB-F117-ED11-B83E-000D3A5BC404,WA01320220810,WA-013,2022-08-10 00:00:00,$2211.51,,E3C8AC81-5F72-EC11-8943-000D3A35254B
4ECAE973-731D-ED11-B83E-00224804C844,WA00620220817,WA-006,2022-08-17 00:00:00,$850.71,,AC9EC560-5F72-EC11-8943-000D3A35254B
503C5C10-7C24-ED11-B83E-000D3A5A8318,WA00320220826,WA-003,2022-08-26 00:00:00,$669.66,,664107F3-4B6F-EC11-8943-000D3A5C40F8
5132E2D8-4D17-ED11-B83E-000D3A5BC404,WA01620220810,WA-016,2022-08-10 00:00:00,$350.67,,01FE7591-5F72-EC11-8943-000D3A35254B
5472D959-A711-ED11-B83D-000D3A318819,WA00220220802,WA-002,2022-08-02 00:00:00,$132.18,Thank You,56AB6507-9707-ED11-82E4-000D3A5B0B3A
55DCC990-C923-ED11-B83E-000D3A5A8318,WA01520220825,WA-015,2022-08-25 00:00:00,$142.45,,63AD2989-5F72-EC11-8943-000D3A35254B
565C98BD-9511-ED11-B83D-000D3A318819,WA00420220802,WA-004,2022-08-02 00:00:00,$1245.93,,D2EC9420-4C6F-EC11-8943-000D3A5C40F8
568DD90D-791E-ED11-B83E-00224804C844,OR00220220819,OR-002,2022-08-19 00:00:00,$991.94,,E1D90EEF-4773-EC11-8943-000D3A35254B
578DD2FA-F317-ED11-B83E-000D3A5BC404,WA00620220810,WA-006,2022-08-10 00:00:00,$773.87,,AC9EC560-5F72-EC11-8943-000D3A35254B
5868F74D-DB10-ED11-B83D-000D3A318819,WA00320220801,WA-003,2022-08-01 00:00:00,$537.34,Please add a case of 2 ounce portion cups and lids ( to make sure they match) ,664107F3-4B6F-EC11-8943-000D3A5C40F8
58832702-B318-ED11-B83E-000D3A5BC404,WA00820220811,WA-008,2022-08-11 00:00:00,$677.45,,8C3A3474-5F72-EC11-8943-000D3A35254B
58BCA5D4-031F-ED11-B83E-00224804C844,OR00320220819,OR-003,2022-08-19 00:00:00,$527.23,,E3D90EEF-4773-EC11-8943-000D3A35254B
5A34D364-7319-ED11-B83E-000D3A5BC404,WA00520220812,WA-005,2022-08-12 00:00:00,$384.26,,B8A89A58-5F72-EC11-8943-000D3A35254B
5B1F9D5A-2422-ED11-B83E-000D3A5A8318,WA00820220823,WA-008,2022-08-23 00:00:00,$657.10,,8C3A3474-5F72-EC11-8943-000D3A35254B
5E9946A4-2A22-ED11-B83E-000D3A5A8318,WA00220220823,WA-002,2022-08-23 00:00:00,$367.10,,56AB6507-9707-ED11-82E4-000D3A5B0B3A
5F9F95AE-761D-ED11-B83E-00224804C844,WA01620220817,WA-016,2022-08-17 00:00:00,$221.63,,01FE7591-5F72-EC11-8943-000D3A35254B
6183C11B-2114-ED11-B83D-000D3A318819,WA00720220808,WA-007,2022-08-08 00:00:00,$619.06,,5BE9096A-5F72-EC11-8943-000D3A35254B
62774717-041F-ED11-B83E-00224804C844,WA01320220819,WA-013,2022-08-19 00:00:00,$2040.62,,E3C8AC81-5F72-EC11-8943-000D3A35254B
628D37CC-5D16-ED11-B83E-000D3A5BC404,WA01320220808,WA-013,2022-08-08 00:00:00,$1962.67,,E3C8AC81-5F72-EC11-8943-000D3A35254B
62BB8D9D-8424-ED11-B83E-000D3A5A8318,WA00620220825,WA-006,2022-08-26 00:00:00,$330.33,,AC9EC560-5F72-EC11-8943-000D3A35254B
63ABA27D-6221-ED11-B83E-000D3A5A8318,WA00620220822,WA-006,2022-08-22 00:00:00,$868.45,Please add Caperx2,AC9EC560-5F72-EC11-8943-000D3A35254B
645C88DB-6E12-ED11-B83D-000D3A318819,WA01620220803,WA-016,2022-08-03 00:00:00,$484.16,,01FE7591-5F72-EC11-8943-000D3A35254B
66966F1E-EE17-ED11-B83E-000D3A5BC404,WA01120220810,WA-011,2022-08-10 00:00:00,$767.05,,6D0F7F7B-5F72-EC11-8943-000D3A35254B
697661B8-9A21-ED11-B83E-000D3A5A8318,WA00320220822,WA-003,2022-08-22 00:00:00,$1008.83,,664107F3-4B6F-EC11-8943-000D3A5C40F8
