Store GUID,Store,Store Name,Commissary code,DeliveryDates
B9A15BDB-4773-EC11-8943-000D3A35254B,GB-007,Hassalo,522200001,"2,5"
6FFC66E1-4773-EC11-8943-000D3A35254B,OR-001,Hillsboro,522200001,"2,5"
E1D90EEF-4773-EC11-8943-000D3A35254B,OR-002,Cedar Hills,522200001,"2,5"
E3D90EEF-4773-EC11-8943-000D3A35254B,OR-003,PDX Airport,522200001,"2,5"
56AB6507-9707-ED11-82E4-000D3A5B0B3A,WA-002,6th & Olive,522200000,"2,4"
664107F3-4B6F-EC11-8943-000D3A5C40F8,WA-003,University Village,522200000,"1,3,5"
D2EC9420-4C6F-EC11-8943-000D3A5C40F8,WA-004,6th & Lenora,522200000,"2,4"
B8A89A58-5F72-EC11-8943-000D3A35254B,WA-005,Thomas & Boren,522200000,"2,5"
AC9EC560-5F72-EC11-8943-000D3A35254B,WA-006,Fremont,522200000,"1,3,5"
5BE9096A-5F72-EC11-8943-000D3A35254B,WA-007,Bellevue City Center,522200000,"1,3"
8C3A3474-5F72-EC11-8943-000D3A35254B,WA-008,One Union,522200000,"2,5"
6D0F7F7B-5F72-EC11-8943-000D3A35254B,WA-011,Bellevue NE 4th,522200000,"1,3,5"
E3C8AC81-5F72-EC11-8943-000D3A35254B,WA-013,SeaTac,522200000,"1,3,5"
63AD2989-5F72-EC11-8943-000D3A35254B,WA-015,Columbia Center,522200000,"2,5"
01FE7591-5F72-EC11-8943-000D3A35254B,WA-016,Kirkland Urban,522200000,"1,3"
123346B6-01F8-EC11-BB3D-0022480844F5,WA-999,Test Location,522200000,"2,4"
